"Sample","Alpha_Diversity"
"Sample_01",8.50800117143804
"Sample_02",7.99795070455871
"Sample_06",7.93049037310595
"Sample_07",7.63912117776867
"Sample_11",8.21323811763863
"Sample_12",8.05090607689994
"Sample_40",8.9970248210462
"Sample_41",7.95240755273919
"Sample_45",8.0807962064465
"Sample_46",8.47894302638768
"Sample_50",8.23911761079365
"Sample_51",8.0199893550427
"Sample_28",7.94875601332923
"Sample_32",8.98111393173935
"Sample_36",8.18687864324017
"Sample_67",8.76112742336612
"Sample_71",7.8666588541058
"Sample_75",7.97519477006662
"Sample_16",6.64505550081864
"Sample_20",7.90670156527562
"Sample_24",7.74762459524921
"Sample_55",7.18056531423152
"Sample_59",8.42610662761672
"Sample_63",6.94837422100936
"Sample_03",8.56795505393404
"Sample_08",8.90698628216669
"Sample_13",8.0969433236729
"Sample_42",8.53907472942118
"Sample_47",8.37020066001607
"Sample_52",7.94369561325591
"Sample_29",7.7953453378423
"Sample_33",7.78932962180989
"Sample_37",8.12850883877372
"Sample_68",8.12033623897869
"Sample_72",8.28526826224931
"Sample_76",7.14808167291739
"Sample_17",7.70554512735343
"Sample_21",8.01118645832091
"Sample_25",8.45234032680613
"Sample_56",9.09079119489042
"Sample_60",8.12029698022275
"Sample_64",9.09016247628506
"Sample_04",8.03401374278388
"Sample_09",7.99292917104006
"Sample_14",8.36104150062752
"Sample_43",7.98791256200116
"Sample_48",8.83708747548993
"Sample_53",7.98600641636875
"Sample_30",8.68106389053591
"Sample_34",7.78034200886628
"Sample_38",7.7054832072111
"Sample_69",8.15343444828514
"Sample_73",7.91327434506057
"Sample_77",7.55480687034602
"Sample_18",7.69459844769255
"Sample_22",7.78263567235182
"Sample_26",7.6718365146381
"Sample_57",6.38553664361518
"Sample_61",6.56193513288856
"Sample_65",6.30703392347426
"Sample_05",8.05921025048145
"Sample_10",7.84220305529085
"Sample_15",7.81086844207273
"Sample_44",8.15086551686368
"Sample_49",7.8086979653658
"Sample_54",7.98413556480004
"Sample_31",7.9284790437909
"Sample_35",8.06571140546062
"Sample_39",7.73036854032666
"Sample_70",7.89012577849137
"Sample_74",7.93480779972362
"Sample_78",7.92390883118492
"Sample_19",7.02317016746817
"Sample_23",6.84155807456385
"Sample_27",7.0395517476451
"Sample_58",6.43618148293818
"Sample_62",5.89095254120465
"Sample_66",6.00245002955939
